Gemeente,Naam,Functie,TOOI
Gemeente Leusden,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0327
Gemeente Lingewaard,Woo contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1705
Gemeente Lisse,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0553
Gemeente Loon op Zand,Team Control,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0809
Gemeente Lopik,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0331
Gemeente Maasdriel,Medewerkers juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0263
Gemeente Maasgouw,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1641
Gemeente Maastricht,woo-coordinator@maastricht.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0935
Gemeente Medemblik,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0420
Gemeente Meerssen,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0938
Gemeente Meierijstad,Informatiebeheer,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1948
Gemeente Meppel,Klant Contact Centrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0119
Gemeente Middelburg,Woo-contactpersoon Gemeente Middelburg,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0687
Gemeente Midden-Delfland,KCC,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1842
Gemeente Midden-Delfland,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1842
Gemeente Midden-Drenthe,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1731
Gemeente Midden-Groningen,woo@midden-groningen.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1952
Gemeente Midden-Groningen,Telefoon Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1952
Gemeente Midden-Groningen,Telefoon Woo-contactpersoon 0598 373 737 (algemeen),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1952
Gemeente Midden-Groningen,Team Juridische Zaken & Inkoop,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1952
Gemeente Molenlanden,openoverheid@jouwgemeente.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1978
Gemeente Montferland,Receptie,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1955
Gemeente Montfoort,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0335
Gemeente Nieuwegein,CJD/Coördinator Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0356
Gemeente Nijkerk,Woo-team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0267
Gemeente Nijmegen,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0268
Gemeente Nijmegen,"Bureau juridische zaken, team algemeen",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0268
Gemeente Nissewaard,Ellen Camps - Dries,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1930
Gemeente Nissewaard,Team Advies Dienstverlening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1930
Gemeente Noardeast-Fryslân,Klantcontactcentrum (algemeen),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1970
Gemeente Noardeast-Fryslân,info@noardeast-fryslan.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1970
Gemeente Noord-Beveland,Beleidsmedewerker Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1695
Gemeente Noord-Beveland,Adviseur burger- en overheidsparticipatie,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1695
Gemeente Noordenveld,Woo Contactpersoon/team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1699
Gemeente Noordwijk,Team Digitale Informatievoorziening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0575
Gemeente Oirschot,Klantcontactcentrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0823
Gemeente Oisterwijk,KCC gemeente Oisterwijk,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0824
Gemeente Oldambt,Klantcontactcentrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1895
Gemeente Oldebroek,Team Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0269
Gemeente Oldenzaal,info@oldenzaal.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0173
Gemeente Olst-Wijhe,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1773
Gemeente Ommen,Team contactpersoon Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0175
Gemeente Oosterhout,Woo-contactpersoon gemeente Oosterhout,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0826
Gemeente Ooststellingwerf,Medewerkers van het Team Dienstverlening en de teamleider van het Team Dienstverlening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0085
Gemeente Opsterland,Klantcontactcentrum gemeente Opsterland,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0086
Gemeente Oss,Klant Contact Centrum gemeente Oss,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0828
Gemeente Ouder-Amstel,Juridisch adviseur Team Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0437
Gemeente Oudewater,Afdeling KCC,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0589
Gemeente Overbetuwe,Afdeling Dienstverlening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1734
Gemeente Papendrecht,Juridisch adviseur Wet open overheid/Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0590
Gemeente Peel en Maas,Infopostbus Peel en Maas - WOO verzoeken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1894
Gemeente Pekela,Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0765
Gemeente Pijnacker-Nootdorp,Woo-afdeling,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1926
Gemeente Raalte,Informatie opvragen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0177
Gemeente Reimerswaal,Afdeling Dienstverlening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0703
Gemeente Renkum,Algemeen Juridische Zaken (AJZ),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0274
Gemeente Reusel-De Mierden,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1667
Gemeente Rheden,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0275
Gemeente Rhenen,Klantcontactcentrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0340
Gemeente Rijssen-Holten,Team algemeen juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1742
Gemeente Rijswijk,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0603
Gemeente Roerdalen,Vragen via algemeen telefoonnummer en e-mailadres,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1669
Gemeente Roermond,Klant Contact Centrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0957
Gemeente Roosendaal,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1674
Gemeente Rotterdam,programmamanager Rotterdam Transparant,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0599
Gemeente Rotterdam,Klant Contact Center (KCC) RoEntree!,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0599
Gemeente Scherpenzeel,Team Woo-verzoeken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0279
Gemeente Schiedam,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0606
Gemeente Sluis,Cluster Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1714
Gemeente Sluis,Cluster DIV,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1714
Gemeente Someren,Klant Contact Centrum (KCC),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0847
Gemeente Son en Breugel,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0848
Gemeente Stadskanaal,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0037
Gemeente Staphorst,Team Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0180
Gemeente Steenbergen,Team Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0851
Gemeente Steenwijkerland,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1708
Gemeente Stein,Woo-contact,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0971
Gemeente Súdwest-Fryslân,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1900
Gemeente Terneuzen,Medewerkers KCC,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0715
Gemeente Terschelling,juridischezaken@terschelling.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0093
Gemeente Texel,Team Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0448
Gemeente Teylingen,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1525
Gemeente Tiel,woo@tiel.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0281
Gemeente Tilburg,contactpersoonwoo@tilburg.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0855
Gemeente Tubbergen,Team Concerncontrol,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0183
Gemeente Tubbergen,Team Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0183
Gemeente Tynaarlo,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1730
Gemeente Tytsjerksteradiel,Klantcontactcentrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0737
Gemeente Uitgeest,Woo-team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0450
Gemeente Uithoorn,"Juridisch adviseur, Team Juridische Zaken",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0451
Gemeente Utrecht,Contactpersoon Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0344
Gemeente Utrecht,Woo-team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0344
Gemeente Utrechtse Heuvelrug,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1581
Gemeente Vaals,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0981
Gemeente Vaals,Juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0981
Gemeente Vaals,info@vaals.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0981
Gemeente Velsen,Woo coordinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0453
Gemeente Venlo,Team Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0983
Gemeente Venray,Team Burgerzaken – Klant Contact Centrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0984
Gemeente Vijfheerenlanden,Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1961
Gemeente Vijfheerenlanden,Woo contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1961
Gemeente Vlaardingen,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0622
